rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-78,-85,-76,-93,-87,-95,-89,-78,-92,-89,-95,-96,0,0,K-01
-71,-90,-84,-85,-89,-84,-90,-79,-95,-89,-92,-99,0,0,K-01
-76,-77,-73,-80,-83,-85,-89,-82,-90,-81,-96,-93,0,0,K-01
-71,-76,-82,-87,-82,-84,-90,-81,-100,-96,-98,-100,0,0,K-01
-71,-77,-85,-95,-83,-88,-87,-81,-97,-88,-95,-99,0,0,K-01
-84,-84,-84,-93,-89,-95,-88,-77,-90,-88,-94,-100,0,0,K-01
-93,-77,-82,-85,-82,-83,-92,-80,-95,-89,-97,-95,0,0,K-01
-86,-83,-84,-93,-87,-82,-87,-81,-91,-95,-97,-100,0,0,K-01
-78,-88,-83,-82,-86,-86,-98,-85,-97,-85,-93,-98,0,0,K-01
-82,-77,-74,-81,-81,-88,-90,-82,-88,-82,-96,-97,0,0,K-01
-87,-84,-84,-92,-87,-95,-90,-79,-89,-91,-95,-100,0,0,K-01
-85,-81,-86,-91,-88,-80,-87,-77,-90,-97,-95,-97,0,0,K-01
-73,-88,-84,-92,-91,-87,-89,-81,-90,-88,-94,-100,0,0,K-01
-76,-80,-73,-81,-88,-87,-84,-82,-90,-82,-93,-97,0,0,K-01
-76,-76,-83,-92,-85,-87,-90,-79,-92,-84,-91,-99,0,0,K-01
-75,-83,-76,-83,-88,-91,-87,-76,-88,-90,-97,-95,0,0,K-01
-77,-77,-89,-100,-90,-81,-90,-84,-99,-90,-96,-99,0,0,K-01
-87,-81,-76,-85,-86,-84,-86,-83,-87,-87,-96,-96,0,0,K-01
-78,-84,-75,-87,-88,-85,-90,-78,-88,-90,-94,-100,0,0,K-01
-75,-77,-88,-88,-91,-80,-92,-83,-97,-87,-97,-95,0,0,K-01
-79,-78,-70,-83,-91,-86,-86,-80,-95,-93,-97,-98,0,0,K-01
-73,-88,-83,-90,-85,-88,-88,-79,-91,-83,-91,-97,0,0,K-01
-88,-82,-85,-87,-88,-79,-90,-80,-92,-89,-95,-100,0,0,K-01
-87,-83,-86,-95,-87,-93,-88,-78,-88,-90,-96,-99,0,0,K-01
-87,-82,-84,-96,-88,-80,-85,-81,-89,-92,-94,-100,0,0,K-01
-78,-86,-74,-81,-92,-86,-85,-82,-91,-89,-95,-96,0,0,K-01
-85,-85,-78,-82,-86,-84,-88,-80,-95,-86,-91,-95,0,0,K-01
-90,-85,-73,-81,-88,-81,-89,-80,-87,-85,-89,-100,0,0,K-01
-77,-75,-95,-87,-82,-86,-92,-88,-93,-88,-90,-99,0,0,K-01
-88,-81,-59,-79,-83,-79,-87,-91,-92,-86,-87,-87,0,3,K-11
-79,-81,-70,-78,-78,-72,-80,-83,-81,-81,-90,-85,0,3,K-11
-80,-83,-71,-82,-81,-80,-91,-79,-92,-80,-97,-91,0,3,K-11
-71,-89,-56,-84,-77,-74,-83,-83,-90,-78,-97,-100,0,3,K-11
-76,-89,-56,-75,-78,-75,-88,-78,-88,-78,-88,-85,0,3,K-11
-81,-83,-70,-79,-80,-76,-89,-88,-85,-73,-85,-82,0,3,K-11
-82,-82,-63,-89,-89,-84,-88,-81,-95,-74,-95,-90,0,3,K-11
-90,-83,-72,-81,-80,-81,-86,-83,-89,-83,-98,-93,0,3,K-11
-76,-89,-58,-95,-84,-86,-87,-80,-89,-73,-88,-91,0,3,K-11
-81,-84,-70,-79,-80,-80,-85,-82,-88,-72,-91,-89,0,3,K-11
-85,-76,-69,-86,-81,-80,-93,-82,-91,-75,-89,-95,0,3,K-11
-84,-78,-70,-86,-78,-77,-90,-83,-84,-81,-91,-89,0,3,K-11
-76,-85,-58,-81,-84,-76,-81,-79,-92,-75,-89,-89,0,3,K-11
-72,-94,-59,-80,-78,-86,-96,-80,-94,-93,-94,-99,0,3,K-11
