rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-79,-83,-71,-87,-86,-89,-88,-78,-86,-88,-95,-100,0,0,K-01
-73,-77,-89,-99,-85,-79,-97,-84,-95,-87,-96,-98,0,0,K-01
-73,-89,-84,-87,-90,-84,-90,-80,-96,-83,-93,-99,0,0,K-01
-79,-84,-71,-85,-84,-90,-83,-88,-87,-89,-95,-97,0,0,K-01
-78,-85,-83,-87,-90,-85,-88,-78,-92,-95,-92,-100,0,0,K-01
-75,-85,-80,-91,-86,-96,-97,-82,-96,-85,-97,-100,0,0,K-01
-79,-83,-71,-87,-84,-90,-88,-78,-86,-87,-95,-100,0,0,K-01
-83,-79,-73,-86,-87,-91,-84,-82,-89,-82,-96,-98,0,0,K-01
-71,-75,-84,-93,-83,-86,-99,-86,-93,-89,-91,-98,0,0,K-01
-71,-76,-84,-87,-83,-85,-90,-86,-93,-88,-91,-99,0,0,K-01
-71,-77,-84,-96,-83,-86,-90,-87,-97,-95,-99,-100,0,0,K-01
-77,-75,-93,-90,-83,-86,-96,-87,-95,-83,-92,-98,0,0,K-01
-85,-84,-84,-94,-88,-92,-90,-76,-91,-88,-91,-100,0,0,K-01
-86,-83,-81,-86,-91,-86,-97,-83,-99,-85,-92,-100,0,0,K-01
-77,-79,-81,-93,-87,-87,-89,-86,-91,-88,-90,-100,0,0,K-01
-82,-77,-74,-80,-84,-83,-88,-79,-89,-81,-95,-95,0,0,K-01
-73,-77,-86,-84,-81,-83,-85,-84,-98,-100,-98,-93,0,0,K-01
-71,-76,-81,-97,-84,-86,-96,-87,-90,-89,-93,-98,0,0,K-01
-92,-79,-73,-86,-87,-83,-85,-81,-94,-99,-96,-97,0,0,K-01
-85,-85,-85,-93,-89,-80,-89,-77,-93,-91,-93,-100,0,0,K-01
-77,-82,-83,-92,-87,-80,-91,-80,-90,-90,-93,-100,0,0,K-01
-76,-76,-90,-93,-92,-80,-100,-83,-97,-93,-97,-96,0,0,K-01
-83,-77,-74,-80,-87,-81,-89,-84,-90,-85,-96,-100,0,0,K-01
-71,-76,-96,-88,-82,-86,-91,-93,-100,-100,-94,-98,0,0,K-01
-75,-85,-82,-85,-86,-82,-95,-83,-94,-87,-91,-99,0,0,K-01
-71,-76,-90,-91,-86,-82,-87,-82,-97,-95,-96,-96,0,0,K-01
-71,-78,-82,-89,-81,-84,-91,-82,-97,-91,-96,-98,0,0,K-01
-78,-85,-83,-88,-88,-80,-87,-78,-93,-91,-95,-100,0,0,K-01
-81,-86,-83,-84,-84,-84,-96,-84,-98,-85,-98,-98,0,0,K-01
-81,-84,-78,-82,-92,-84,-88,-80,-95,-86,-91,-95,0,0,K-01
-88,-85,-87,-81,-89,-84,-83,-80,-93,-87,-96,-95,0,0,K-01
-82,-81,-74,-80,-93,-88,-87,-81,-91,-90,-97,-100,0,0,K-01
-80,-83,-72,-85,-84,-91,-89,-78,-95,-89,-99,-95,0,0,K-01
-73,-89,-83,-87,-90,-85,-90,-80,-96,-90,-93,-98,0,0,K-01
-79,-86,-81,-93,-85,-85,-89,-78,-91,-92,-95,-100,0,0,K-01
-75,-78,-92,-93,-84,-88,-89,-86,-90,-89,-93,-99,0,0,K-01
-70,-75,-84,-86,-83,-86,-100,-87,-94,-91,-90,-97,0,0,K-01
-85,-85,-78,-82,-92,-84,-88,-80,-95,-86,-91,-95,0,0,K-01
-84,-82,-72,-82,-87,-87,-83,-88,-88,-90,-95,-97,0,0,K-01
-73,-86,-83,-85,-82,-84,-85,-81,-97,-99,-99,-100,0,0,K-01
-86,-83,-85,-93,-86,-80,-85,-82,-89,-95,-96,-100,0,0,K-01
-74,-76,-90,-93,-92,-80,-96,-83,-97,-93,-97,-96,0,0,K-01
-91,-80,-70,-84,-90,-91,-87,-79,-90,-91,-96,-100,0,0,K-01
-87,-85,-81,-81,-88,-88,-87,-81,-95,-91,-98,-95,0,0,K-01
-71,-75,-90,-93,-81,-84,-96,-84,-97,-92,-94,-98,0,0,K-01
-74,-77,-82,-85,-81,-83,-85,-82,-95,-88,-100,-92,0,0,K-01
-73,-78,-83,-93,-83,-88,-89,-86,-96,-84,-91,-97,0,0,K-01
-74,-76,-81,-87,-82,-84,-90,-83,-100,-96,-98,-95,0,0,K-01
-76,-77,-84,-96,-95,-79,-89,-83,-98,-88,-96,-97,0,0,K-01
-78,-84,-81,-85,-90,-84,-97,-84,-99,-85,-92,-100,0,0,K-01
-90,-79,-73,-87,-88,-82,-84,-79,-91,-81,-93,-100,0,0,K-01
-76,-87,-81,-82,-86,-86,-99,-84,-95,-85,-91,-99,0,0,K-01
-73,-77,-84,-90,-89,-89,-90,-78,-91,-83,-90,-100,0,0,K-01
-83,-77,-74,-80,-87,-91,-84,-82,-89,-82,-96,-100,0,0,K-01
-78,-85,-76,-86,-85,-86,-87,-79,-91,-88,-98,-100,0,0,K-01
