rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-85,-70,-82,-84,-82,-69,-64,-87,-81,-75,-83,-81,4,4,H-05
-88,-72,-75,-81,-83,-93,-83,-77,-81,-74,-93,-92,3,2,K-10
-76,-80,-57,-90,-93,-84,-85,-88,-94,-86,-92,-89,0,3,K-11
-66,-79,-71,-70,-80,-64,-88,-83,-99,-94,-89,-96,2,3,K-13
-69,-81,-79,-91,-87,-80,-87,-66,-80,-96,-92,-93,3,0,K-04
-90,-79,-73,-78,-85,-71,-94,-88,-90,-78,-84,-101,1,4,H-02
-71,-82,-85,-86,-90,-81,-83,-75,-94,-93,-99,-96,1,0,K-02
-73,-74,-69,-85,-84,-76,-86,-78,-81,-88,-89,-95,2,2,K-09
-87,-85,-91,-92,-89,-84,-84,-87,-82,-67,-73,-73,10,4,H-11
-81,-86,-72,-78,-84,-73,-80,-94,-87,-82,-92,-88,1,4,H-02
-72,-73,-79,-82,-86,-81,-91,-72,-92,-81,-97,-100,3,1,K-07
-91,-84,-84,-88,-66,-69,-70,-94,-82,-83,-87,-92,3,6,L-03
-78,-78,-73,-71,-78,-71,-80,-95,-100,-81,-99,-87,1,4,H-02
-93,-74,-72,-70,-75,-83,-80,-87,-84,-87,-88,-102,1,7,L-07
-71,-77,-84,-97,-91,-86,-97,-84,-99,-93,-97,-99,0,0,K-01
-87,-67,-72,-96,-76,-57,-73,-81,-77,-74,-88,-90,3,4,H-04
-74,-77,-76,-80,-86,-77,-93,-82,-85,-88,-93,-92,2,0,K-03
-81,-68,-78,-75,-88,-82,-68,-92,-88,-86,-89,-94,1,8,L-09
-83,-87,-83,-81,-64,-77,-90,-85,-82,-91,-81,-103,3,7,L-05
-90,-85,-78,-98,-98,-88,-74,-76,-59,-57,-80,-66,10,4,H-11
-98,-77,-83,-95,-90,-81,-75,-78,-60,-50,-70,-76,8,4,H-09
-93,-74,-75,-71,-76,-88,-85,-88,-84,-86,-88,-103,1,7,L-07
-71,-73,-79,-72,-88,-71,-68,-93,-85,-86,-91,-100,1,8,L-09
-88,-85,-94,-103,-95,-81,-74,-84,-60,-66,-66,-65,10,4,H-11
-68,-80,-77,-100,-78,-76,-86,-80,-92,-98,-93,-98,1,2,K-08
-83,-72,-89,-85,-69,-67,-85,-78,-84,-81,-92,-90,3,5,L-01
-84,-70,-78,-84,-76,-69,-64,-84,-72,-76,-84,-92,4,4,H-05
-84,-84,-80,-75,-86,-76,-93,-85,-95,-90,-90,-97,2,0,K-03
-95,-73,-72,-69,-76,-86,-81,-84,-82,-87,-87,-100,1,7,L-07
-94,-75,-68,-87,-83,-69,-71,-78,-85,-83,-97,-94,3,5,L-01
-83,-76,-73,-83,-76,-72,-73,-89,-82,-83,-91,-92,4,6,L-04
-89,-84,-84,-89,-67,-71,-69,-96,-87,-93,-91,-90,3,6,L-03
-85,-79,-78,-90,-93,-70,-57,-78,-70,-69,-83,-81,5,4,H-06
-69,-74,-61,-80,-85,-79,-81,-83,-92,-88,-83,-101,1,3,K-12
-94,-73,-74,-70,-75,-92,-86,-84,-81,-88,-90,-99,1,7,L-07
