rmse,method,label
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
3.605551275,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
3.605551275,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
3.605551275,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
2.236067977,traditional,K-11
0,traditional,K-11
0,traditional,K-11
2.236067977,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
2.236067977,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
5,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
2.236067977,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
5,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
2,traditional,K-11
1.414213562,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
2.236067977,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
2.236067977,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
2.236067977,traditional,K-11
1,traditional,K-11
1.414213562,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1.414213562,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
1.414213562,traditional,K-11
1.414213562,traditional,K-11
1,traditional,K-11
0,traditional,K-11
0,traditional,K-11
1,traditional,K-11
0,traditional,K-11
1,traditional,H-01
0,traditional,H-01
3.605551275,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.123105626,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
1,traditional,H-01
1,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
4.123105626,traditional,H-01
0,traditional,H-01
4,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
1,traditional,H-01
4.472135955,traditional,H-01
1,traditional,H-01
0,traditional,H-01
1.414213562,traditional,H-01
2.828427125,traditional,H-01
1,traditional,H-01
0,traditional,H-01
1,traditional,H-01
2,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
2.236067977,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
2.236067977,traditional,H-01
0,traditional,H-01
2,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1.414213562,traditional,H-01
0,traditional,H-01
1,traditional,H-01
2.236067977,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
1,traditional,H-01
4.123105626,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
4.123105626,traditional,H-01
1.414213562,traditional,H-01
0,traditional,H-01
0,traditional,H-01
