rsme,method,label
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.4142135623730951,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
5.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
1.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
2.23606797749979,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
1.4142135623730951,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
1.4142135623730951,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
1.4142135623730951,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.4142135623730951,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
2.23606797749979,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
1.0,traditional,K-11
0.0,traditional,K-11
0.0,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
2.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
3.1622776601683795,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
4.47213595499958,traditional,H-01
2.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
4.47213595499958,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
2.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.4142135623730951,traditional,H-01
2.0,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
4.0,traditional,H-01
1.0,traditional,H-01
2.0,traditional,H-01
2.0,traditional,H-01
3.605551275463989,traditional,H-01
2.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
2.0,traditional,H-01
2.0,traditional,H-01
0.0,traditional,H-01
2.0,traditional,H-01
4.47213595499958,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
3.1622776601683795,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
2.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
3.1622776601683795,traditional,H-01
4.123105625617661,traditional,H-01
3.1622776601683795,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
4.123105625617661,traditional,H-01
2.8284271247461903,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
4.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
3.605551275463989,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
2.8284271247461903,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
2.0,traditional,H-01
1.0,traditional,H-01
3.1622776601683795,traditional,H-01
4.47213595499958,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.4142135623730951,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
2.0,traditional,H-01
2.8284271247461903,traditional,H-01
1.4142135623730951,traditional,H-01
1.4142135623730951,traditional,H-01
0.0,traditional,H-01
2.0,traditional,H-01
4.123105625617661,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
2.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
2.8284271247461903,traditional,H-01
2.0,traditional,H-01
0.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
1.4142135623730951,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
3.1622776601683795,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
2.0,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
4.0,traditional,H-01
2.23606797749979,traditional,H-01
4.123105625617661,traditional,H-01
1.0,traditional,H-01
4.123105625617661,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
4.242640687119285,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
2.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
3.1622776601683795,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
4.123105625617661,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
4.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
4.123105625617661,traditional,H-01
1.0,traditional,H-01
3.1622776601683795,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
4.0,traditional,H-01
2.23606797749979,traditional,H-01
2.23606797749979,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
2.8284271247461903,traditional,H-01
4.123105625617661,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
2.0,traditional,H-01
2.0,traditional,H-01
4.47213595499958,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
3.1622776601683795,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
4.123105625617661,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
4.47213595499958,traditional,H-01
1.0,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
2.23606797749979,traditional,H-01
4.0,traditional,H-01
2.0,traditional,H-01
4.47213595499958,traditional,H-01
2.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
2.8284271247461903,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
2.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
1.4142135623730951,traditional,H-01
3.1622776601683795,traditional,H-01
2.23606797749979,traditional,H-01
4.47213595499958,traditional,H-01
2.23606797749979,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
0.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
0.0,traditional,H-01
3.1622776601683795,traditional,H-01
2.23606797749979,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,H-01
1.0,traditional,K-02
2.23606797749979,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
2.8284271247461903,traditional,K-02
2.23606797749979,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
1.0,traditional,K-02
2.0,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
