-84,-84,-74,-82,-83,-88,-84,-77,-87,-87,-97,-104,0,0,K-01
-84,-84,-74,-82,-87,-88,-84,-77,-87,-87,-97,-104,0,0,K-01
-84,-84,-74,-82,-87,-88,-84,-77,-87,-90,-97,-104,0,0,K-01
-84,-84,-74,-80,-87,-88,-84,-77,-87,-90,-97,-104,0,0,K-01
-84,-84,-74,-80,-87,-88,-84,-77,-87,-90,-99,-104,0,0,K-01
-75,-84,-74,-80,-87,-88,-84,-77,-87,-90,-99,-104,0,0,K-01
-75,-84,-74,-80,-87,-88,-84,-77,-87,-90,-99,-104,0,0,K-01
-75,-83,-74,-80,-87,-88,-84,-77,-87,-90,-99,-104,0,0,K-01
-75,-83,-75,-80,-87,-88,-84,-77,-87,-90,-99,-104,0,0,K-01
-75,-83,-75,-80,-87,-88,-84,-76,-87,-90,-99,-104,0,0,K-01
-75,-83,-75,-80,-87,-90,-84,-76,-87,-90,-99,-104,0,0,K-01
-75,-83,-75,-80,-87,-90,-84,-76,-87,-90,-99,-104,0,0,K-01
-75,-83,-75,-80,-91,-90,-84,-76,-87,-90,-99,-104,0,0,K-01
-75,-83,-75,-80,-91,-90,-84,-76,-87,-92,-99,-104,0,0,K-01
-75,-83,-75,-80,-91,-90,-84,-76,-87,-92,-99,-104,0,0,K-01
-75,-83,-75,-80,-91,-90,-84,-76,-87,-92,-96,-104,0,0,K-01
-75,-82,-75,-80,-91,-90,-84,-76,-87,-92,-96,-104,0,0,K-01
-75,-82,-75,-80,-91,-90,-84,-79,-87,-92,-96,-104,0,0,K-01
-76,-82,-75,-80,-91,-90,-84,-79,-87,-92,-96,-104,0,0,K-01
-76,-82,-76,-80,-91,-90,-84,-79,-87,-92,-96,-104,0,0,K-01
-76,-82,-76,-80,-91,-90,-84,-79,-87,-92,-96,-104,0,0,K-01
-76,-82,-76,-80,-85,-90,-84,-79,-87,-92,-96,-104,0,0,K-01
-76,-82,-76,-80,-85,-90,-84,-79,-87,-92,-96,-104,0,0,K-01
-76,-82,-76,-80,-85,-90,-84,-79,-87,-92,-97,-104,0,0,K-01
-76,-82,-76,-80,-85,-90,-84,-79,-87,-85,-97,-104,0,0,K-01
-76,-83,-76,-80,-85,-90,-84,-79,-87,-85,-97,-104,0,0,K-01
-79,-83,-76,-80,-85,-90,-84,-79,-87,-85,-97,-104,0,0,K-01
-79,-83,-75,-80,-85,-90,-84,-79,-87,-85,-97,-104,0,0,K-01
-79,-83,-75,-80,-85,-90,-87,-79,-87,-85,-97,-104,0,0,K-01
-79,-83,-75,-80,-85,-89,-87,-79,-87,-85,-97,-104,0,0,K-01
-79,-83,-75,-80,-85,-89,-87,-79,-87,-85,-97,-104,0,0,K-01
-79,-83,-75,-80,-85,-89,-87,-79,-87,-85,-97,-104,0,0,K-01
